,ID,Type,Name,Genus,kingdom,phylum,class,order,family,Key
157,102,1,Bathyporeia pilosa,Bathyporeia,Animalia,Arthropoda,Malacostraca,Amphipoda,Pontoporeiidae,Malacostraca
158,103,1,Gammarus sp.,Gammarus,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Malacostraca
159,104,1,Idotea emarginata,Idotea,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Malacostraca
160,105,1,Jaera albifrons,Jaera,Animalia,Arthropoda,Malacostraca,Isopoda,Janiridae,Malacostraca
161,106,1,Eurydice pulchra,Eurydice,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Malacostraca
162,107,1,Nototropis spp.,Nototropis,Animalia,Arthropoda,Malacostraca,Amphipoda,Dexaminidae,Malacostraca
163,108,1,Pygospio elegans,Pygospio,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Polychaeta
164,109,1,Parathemisto sp.,Parathemisto,Animalia,Arthropoda,Malacostraca,Amphipoda,Hyperiidae,Malacostraca
165,110,1,Capitella capitata,Capitella,Animalia,Annelida,Polychaeta,NA,Capitellidae,Polychaeta
166,111,1,Manayunkia aestuarina,Manayunkia,Animalia,Annelida,Polychaeta,Sabellida,Fabriciidae,Polychaeta
167,112,1,Aricia sp.,Aricia,Animalia,Arthropoda,Insecta,NA,NA,Insecta
168,113,1,Arenicola  marina,Arenicola,Animalia,Annelida,Polychaeta,NA,Arenicolidae,Polychaeta
169,114,1,Tubificoides  benedini,Tubificoides,Animalia,Annelida,Clitellata,Tubificida,Naididae,Clitellata
170,115,1,Tubifex costatus,Tubifex,Animalia,Annelida,Clitellata,Tubificida,Naididae,Clitellata
171,116,1,Hydrobia  ulvae,Hydrobia,Animalia,Mollusca,Gastropoda,Littorinida,Hydrobiidae,Gastropoda
172,117,1,Littorina littorea,Littorina,Animalia,Mollusca,Gastropoda,Littorinida,Littorinidae,Gastropoda
173,117,1,Littorina littorea,Littorina,Animalia,Mollusca,Gastropoda,Littorinida,Littorinidae,Gastropoda
174,118,1,Littorina saxatilis,Littorina,Animalia,Mollusca,Gastropoda,Littorinida,Littorinidae,Gastropoda
175,118,1,Littorina saxatilis,Littorina,Animalia,Mollusca,Gastropoda,Littorinida,Littorinidae,Gastropoda
176,119,1,Alderia modestus,Alderia,Animalia,Mollusca,Gastropoda,NA,Limapontiidae,Gastropoda
177,120,1,Retusa obtusa,Retusa,Animalia,Mollusca,Gastropoda,Cephalaspidea,Retusidae,Gastropoda
178,121,1,Mya arenaria,Mya,Animalia,Mollusca,Bivalvia,Myida,Myidae,Bivalvia
179,122,1,Macoma balthica,Macoma,Animalia,Mollusca,Bivalvia,Sphaeriida,Tellinidae,Bivalvia
180,123,1,Mytilus edulis,Mytilus,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Bivalvia
181,124,1,Cerastoderma edule,Cerastoderma,Animalia,Mollusca,Bivalvia,Cardiida,Cardiidae,Bivalvia
182,125,1,nematodes  ,nematodes,Animalia,Nematoda,NA,NA,NA,Nematoda
183,126,1,Foraminifera ,Foraminifera,Protista,NA,NA,NA,NA,Protista
184,127,1,Chironomidae ,Chironomidae,Animalia,Arthropoda,Insecta,NA,NA,Insecta
185,128,1,Dipteran larvae  ,Dipteran,Animalia,Arthropoda,Insecta,NA,NA,Insecta
186,129,1,Acarina (mites & ticks) ,Acarina,Animalia,Arthropoda,Arachnida,NA,NA,Arachnida
187,130,1,Hesionidae ,Hesionidae,Animalia,Annelida,Polychaeta,NA,NA,Polychaeta
188,131,1,Phytoplankton ,Phytoplankton,Plantae,NA,NA,NA,NA,Plantae
189,132,1,brown algae  ,brown,Protista,NA,NA,NA,NA,Protista
190,133,1,Enteropmorpha ,Enteropmorpha,Plantae,NA,NA,NA,NA,Plantae
191,134,1,POM ,POM,POM,NA,NA,NA,NA,POM
